Algorithm,Initialization,Results
ILP,,"130506074,130506074,130506074,130506074,130506074,130506074,130506074,130506074,130506074,130506074,130506074,130506074,130506074,130506074,130506074,130506074,130506074,130506074,130506074,130506074,130506074,130506074,130506074,130506074,130506074,130506074,130506074,130506074,130506074,130506074"
RS,,"129881225,129864347,129426564,129580457,129518144,129872245,129571380,129053934,129730988,130000939,129250099,129277673,129636421,129803944,130057838,129981174,129742533,129414708,129477658,129438948,129449557,129688585,130055834,129841990,129989876,129606935,129935535,129318948,129578441,129579638"
SA,Barry,"123621957,123621957,123621957,123621883,123621957,123621957,123621957,123621957,123621957,123621957,123621957,123621957,123621957,123621957,123621957,123621957,123621921,123621957,123621957,123621957,123621957,123621957,123621943,123621957,123621863,123621957,123621957,123621957,123621957,123621862"
GA,Barry,"123621957,123621957,123621957,123621957,123621957,123621957,123621957,123621957,123621957,123621957,123621957,123621957,123621957,123621957,123621957,123621957,123621957,123621957,123621957,123621957,123621957,123621957,123621957,123621957,123621957,123621957,123621957,123621957,123621957,123621957"
SA,Random,"130276150,130772883,130148871,130071851,130250818,129674634,130409105,131084045,129062768,129812598,131213857,130041430,129701219,130012758,131058038,130655116,129665581,130139023,130748815,131243201,130015487,130489684,130884430,130202201,129957014,130011184,129801826,129890223,130828343,130217147"
GA,Random,"129862186,129653647,129674737,129337300,129642127,130045267,129638595,129587460,129434906,129881050,129513774,129979345,130074517,130202346,129557360,129739578,129654130,129510539,129774261,130040837,129721828,128812431,130044859,130229581,129415735,129788394,129639607,129725919,129795143,129737071"
SA,Medium,"130798881,130789147,130637160,130622587,130846813,130716495,130758948,130676740,130866043,130799707,130818810,130792727,130858145,130890443,130871337,130862104,130774325,130661358,130843099,130886887,130695212,130829930,130839380,130864932,130818646,130724550,130917003,130673508,130825144,130832859"
GA,Medium,"129848453,129700628,129790389,129653506,129757006,129689730,129728401,129719389,130281443,130064106,129913350,129948984,130279949,130639971,129951763,129792253,129037213,129241919,129821990,130000643,130045007,129633887,129628256,129909922,129765389,129757016,129869319,129339769,130256743,129974323"
SA,Jump,"123621957,123621957,123621957,123621929,123621914,123621937,123621957,123621957,123621872,123621957,123621899,123621912,123621796,123621505,123621957,123621854,123621793,123621957,123621957,123621957,123621675,123621957,123621706,123621951,123621957,123621479,123621271,123621930,123621833,123621722"
