Algorithm,Initialization,Results
RS,,"1473281121,1473661539,1469056130,1472213952,1472682221,1478203252,1471018376,1471489961,1478446532,1475427424,1473052456,1467143271,1480274270,1477235993,1470000356,1469217510,1474096787,1466702715,1471732401,1473468962,1467980619,1473291686,1471897566,1473472959,1472184957,1467096144,1466051686,1469381429,1470074657,1472256099"
SA,Barry,"1371205632,1371205632,1371205632,1371205632,1371205632,1371205632,1371205632,1371205632,1371205632,1371205632,1371205632,1371205632,1371205632,1371205632,1371205632,1371205632,1371205632,1371205632,1371205632,1371205632,1371205632,1371205632,1371205632,1371205632,1371205632,1371205632,1371205632,1371205632,1371205632,1371205632"
GA,Barry,"1371205632,1371205632,1371205632,1371205632,1371205632,1371205632,1371205632,1371205632,1371205632,1371205632,1371205632,1371205632,1371205632,1371205632,1371205632,1371205632,1371205632,1371205632,1371205632,1371205632,1371205632,1371205632,1371205632,1371205632,1371205632,1371205632,1371205632,1371205632,1371205632,1371205632"
SA,Random,"1471262700,1470751781,1472366880,1471810857,1469022294,1475442004,1476092506,1474274744,1476810588,1474107884,1474209873,1472957482,1472560001,1470376787,1476359951,1472745204,1468718024,1470128147,1467110701,1478320979,1471015371,1475158708,1477873175,1476862851,1472378280,1473786396,1473470819,1474363646,1468196798,1470920073"
GA,Random,"1472733762,1470745273,1473481368,1467288264,1471788847,1471077270,1476694420,1465678800,1471136681,1466382762,1468993427,1471456191,1472660114,1469890766,1472951541,1469816252,1466882110,1468404710,1469904635,1475241061,1467649404,1477014037,1474133057,1473077041,1468839186,1475390566,1473189277,1478823802,1472395573,1473058785"
SA,Medium,"1474726740,1474726740,1474726740,1474726740,1474726740,1474726740,1474726740,1474726740,1474726740,1474726740,1474726740,1474726740,1474726740,1474726740,1474726740,1474726740,1474726740,1474726740,1474726740,1474726740,1474726740,1474726740,1474726740,1474726740,1474726740,1474726740,1474726740,1474726740,1474726740,1474726740"
GA,Medium,"1474726740,1474726740,1474726740,1474726740,1474726740,1474726740,1474726740,1474726740,1474726740,1474726740,1474726740,1474726740,1474726740,1474726740,1474726740,1474726740,1474726740,1474726740,1474726740,1474726740,1474726740,1474726740,1474726740,1474726740,1474726740,1474726740,1474726740,1474726740,1474726740,1474726740"
SA,Jump,"1371205632,1371205632,1371205632,1371205632,1371205632,1371205632,1371205632,1371205632,1371205632,1371205632,1371205632,1371205632,1371205632,1371205632,1371205632,1371205632,1371205632,1371205632,1371205632,1371205632,1371205632,1371205632,1371205632,1371205632,1371205632,1371205632,1371205632,1371205632,1371205632,1371205632"
